Keyword Stats 2025-01-27 at 12_05_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2023 - December 31, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024
live streaming cctv camera,AED,10,0%,0%,Unknown,,,,,,,,,10,10,10,10,0,0,10,10,10,0,0,0,0,0,10,10,10,0,0,0,10,0,10,0
login cctv camera,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0
login cctv online,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0
low cost cctv,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0
low cost cctv camera,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10
low cost cctv system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0
low cost ip camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0
low light ip camera,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
low price cctv camera with recording,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0
low price wifi camera,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,0,10,0,10,10,0,0,10,10,0,0,10,0,10,10,10,0,0,10,10,0
made in india cctv camera,AED,10,-100%,0%,Unknown,,,,,,,,,10,10,10,10,0,10,0,10,10,10,10,0,0,10,10,10,10,0,10,0,0,10,10,0
mini network camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
mini onvif camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
mobile network video recorder,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10
mobile wifi camera price,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
model camera cctv,AED,20,-50%,0%,High,100,,,,,,,,20,10,40,20,20,10,10,20,10,10,10,10,20,20,10,20,10,20,20,20,10,20,10,10
model cctv wifi,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my camera ip,AED,10,-100%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,10,10,0,10,0,10,0,0
net ip camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0
network camera price,AED,10,∞,0%,Medium,50,,,,,,,,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,0,10,10,0,10,0,0,10
network camera setup,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,10,10,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
network camera with audio,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network cctv camera price,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
network cctv camera system,AED,10,0%,∞,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,10
network cctv system,AED,10,0%,0%,Medium,50,,,,,,,,10,0,0,0,10,10,0,10,0,0,0,10,0,10,10,0,10,0,10,10,0,10,10,10
network dome camera,AED,10,0%,0%,High,100,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
network ip cctv camera,AED,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
network ptz,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
network video surveillance,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,10,0,0,0,0,0
new cctv,AED,10,-100%,0%,Unknown,,,,,,,,,10,0,0,0,10,0,0,10,10,10,0,0,10,0,0,0,0,10,0,0,10,10,10,0
new ip camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,10,0,0,0,0,0,0,0,0,0,0,10,10,10,0,10,0,0,0,10,0
new wifi camera,AED,10,∞,∞,High,100,,,,,,,,10,10,10,0,10,10,0,0,0,10,0,0,0,0,10,0,10,0,0,10,10,0,0,10
no video cctv,AED,10,∞,0%,Low,0,,,,,,,,0,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,10
no video in cctv,AED,10,∞,∞,Low,0,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,10,0,0,10
no video on cctv camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0
non chinese cctv camera brands,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,10,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,0,0,0
nvr 301,AED,10,-100%,-100%,Unknown,,,,,,,,,0,0,10,10,0,0,10,10,0,0,0,10,0,10,10,0,10,10,10,0,10,10,0,0
nvr 5mp camera,AED,10,∞,∞,High,100,,,,,,,,0,0,0,10,0,10,0,0,0,0,0,0,10,0,10,10,10,0,0,10,10,0,10,10
nvr bullet camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0
nvr camera price in india,AED,10,0%,0%,Unknown,,,,,,,,,10,10,0,10,0,0,0,10,10,10,10,0,0,10,10,0,10,10,0,0,0,0,0,0
nvr camera setup,AED,10,0%,0%,High,100,,,,,,,,10,0,0,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,10,0,10,10,10,10
nvr camera viewer,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nvr cctv camera installation,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
nvr cctv camera price,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,0,0,10,0,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10
nvr cctv ip camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0
nvr cctv wireless,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,10,0
nvr components,AED,10,∞,0%,Low,0,,,,,,,,0,0,0,0,10,0,10,0,0,10,0,10,0,0,10,0,0,0,10,0,0,0,0,10
nvr connection diagram,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
nvr connector,AED,10,0%,∞,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,20,10,10,10,10,10,10,10,10,10,10,10
nvr diagram,AED,10,0%,0%,Low,0,,,,,,,,10,0,10,10,10,10,10,10,10,0,0,10,0,0,10,10,10,0,10,10,0,10,0,10
nvr display,AED,10,∞,∞,High,100,,,,,,,,10,0,0,10,10,0,10,10,0,10,10,0,10,0,0,0,0,0,10,0,10,0,10,10
nvr for cctv camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
nvr in cctv camera,AED,10,∞,0%,Low,29,,,,,,,,10,10,0,0,10,0,10,0,10,0,10,10,10,0,10,10,0,10,10,10,10,0,10,10
nvr installation diagram,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
nvr ip cam,AED,20,-50%,-50%,High,100,,,,,,,,20,10,20,10,20,20,20,20,20,20,30,20,20,20,30,10,20,10,20,20,20,20,20,10
nvr ip camera price in india,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
nvr ipcam,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvr network video recorder manual,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,10,10,0,10,10,10,0,10,0,0,0,10,0,0,0
nvr p2p,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
nvr picture,AED,10,0%,0%,Low,14,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10
nvr ptz,AED,10,∞,∞,High,86,,,,,,,,10,0,10,10,10,0,10,0,10,10,0,0,0,10,10,0,0,0,10,0,10,0,0,10
nvr supported cameras,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,10,10,0,0,10,0,0,0,0,10,0,10,0,0,10,0,0,0,10,0
nvr uniarch,AED,10,-100%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0
nvr universal,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,0,10,0,0,0,0,10,0,0,10,10,0,10,0,10,0,0,0,0
nvr unv password,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
nvr wifi kit,AED,10,0%,-100%,Unknown,,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,0,10,0
nvr with wifi camera,AED,10,0%,∞,High,100,,,,,,,,10,0,10,10,10,10,10,10,10,0,10,0,10,10,10,0,10,10,10,10,0,10,10,10
oem ip camera,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
online camera ip address,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0
online camera viewer for pc,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0
online wifi camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10
online wifi camera viewer,AED,10,0%,∞,Medium,43,,,,,,,,10,10,0,10,0,10,10,0,10,0,0,0,0,10,10,0,0,0,0,0,0,10,0,10
online wireless camera,AED,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
only cctv camera price,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0
onvif camera control,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
onvif camera ip,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
onvif cctv camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,10,0,0,10,0
onvif cctv software,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
onvif compatible,AED,10,0%,∞,Low,0,,,,,,,,0,10,10,0,10,0,0,0,0,10,0,0,0,10,0,0,10,10,10,0,0,10,0,10
onvif dome camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0
onvif intelligent camera,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,10,10,10,0,10,0,10,0,10,0,0,10,0,0,10,0,0,0,0,0
onvif microphone,AED,10,∞,∞,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,10
onvif recording software,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,0
onvif security,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onvif support,AED,10,∞,∞,Low,0,,,,,,,,10,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,10
onvif video,AED,10,∞,0%,Low,0,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,10
onvif what is,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onvif wifi,AED,10,∞,∞,Low,31,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
onvif wifi camera software,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onvif wifi outdoor camera,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
original cctv camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,10,10,0,0,10,0,0,0,10,0,0,0,0,10,10,0,0,10,0
original cctv camera price,AED,10,0%,0%,High,100,,,,,,,,0,0,0,0,0,10,10,10,0,0,0,10,0,0,0,0,0,0,0,10,10,10,0,10
out door cctv camera,AED,90,-22%,-22%,High,100,17.24,120.64,3%,,,,,110,70,90,70,70,110,70,70,90,90,90,90,90,70,90,110,90,110,110,70,110,90,70,70
outdoor camera india,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,10,10,0,10,0,10,0,0,0,10,10,0,0,10,10,10,0,10,0
outdoor cctv camera housing,AED,10,0%,0%,High,100,,,,,,,,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10
outdoor cctv camera philippines,AED,10,0%,∞,High,100,,,,,,,,0,0,0,0,10,0,0,10,0,0,0,0,10,0,10,10,10,0,0,10,0,10,0,10
outdoor cctv camera price in nepal,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
outdoor cctv camera price philippines,AED,10,0%,∞,High,67,,,,,,,,10,0,0,0,0,10,0,10,0,10,10,0,0,10,10,10,10,10,10,0,10,10,10,10
outdoor ip,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,10,0,10,0,0,0,0,0,10,10,0,10,10,0,0,0
outdoor ip camera price,AED,10,0%,∞,Low,10,,,,,,,,0,10,10,0,0,0,10,0,10,10,0,0,0,10,0,0,0,0,10,10,0,10,10,10
outdoor ptz camera australia,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outdoor ptz camera price in india,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
outdoor rotating cctv camera,AED,10,0%,0%,Unknown,,,,,,,,,0,10,10,0,10,10,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,0,0,0
p2p camera server,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2p camera software,AED,10,∞,∞,Low,14,,,,,,,,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
p2p client ip camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
p2p id camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2p nvr,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,10,10,0
p2p security camera,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0
p2p surveillance,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2p wifi cam,AED,10,∞,0%,Medium,43,,,,,,,,0,10,10,10,10,10,0,0,0,0,10,10,0,10,0,10,10,10,10,10,0,0,10,10
p2p wireless ip camera,AED,10,0%,0%,Unknown,,,,,,,,,0,10,10,10,0,10,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0
pixel cctv camera,AED,10,∞,0%,High,67,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10,0,0,0,0,0,0,10,10,10,0,10,10
plug & view ip camera,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plugin for unv camera,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,0
plugin uniview,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
plugin unv,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
plugin unv camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
poe camera connection diagram,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0
poe camera diagram,AED,10,∞,∞,Low,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,10
poe camera dome,AED,10,0%,0%,High,100,,,,,,,,0,10,0,0,0,10,0,10,0,10,0,10,0,0,10,10,0,0,10,10,0,10,10,10
poe camera india,AED,10,-100%,0%,Unknown,,,,,,,,,0,10,10,0,0,0,10,0,0,0,0,0,10,0,0,0,0,10,0,0,0,10,10,0
poe camera power consumption,AED,10,∞,0%,Medium,43,,,,,,,,0,10,10,0,0,0,10,10,0,10,0,10,0,0,10,10,10,10,10,10,10,0,0,10
poe cctv wiring diagram,AED,10,∞,∞,Low,0,,,,,,,,0,10,10,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10
poe hd,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,0,10,10,0,10,0,0,10,10,10,10,10,10,10,0,0,10,0,10,10,10
poe ip camera cable,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,10,0,0,0,10,0
poe ip camera wiring diagram,AED,10,-50%,0%,Low,0,,,,,,,,20,20,10,10,20,20,20,20,10,20,10,10,20,10,20,10,10,10,10,10,10,20,10,10
poe system cctv,AED,10,0%,∞,High,71,,,,,,,,10,10,10,10,0,0,10,10,10,0,10,0,10,0,10,0,0,0,10,10,10,10,10,10
power rating of cctv camera,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
price of camera for home,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
price of ptz camera,AED,40,33%,-76%,High,100,14.65,75.11,,,,,,20,10,30,20,30,40,20,20,40,20,40,170,110,50,50,50,50,30,40,40,20,30,40,40
price of wifi cctv camera,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
price of wireless cctv camera,AED,10,∞,∞,Medium,50,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prime cctv camera,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
program cctv for pc,AED,10,0%,-50%,Low,19,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
ptz 2mp,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,0
ptz 5mp,AED,10,0%,0%,Unknown,,,,,,,,,10,10,10,0,10,10,10,10,10,0,0,0,0,0,0,10,10,0,0,10,10,0,0,0
ptz camera 360,AED,10,∞,0%,High,100,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10
ptz camera 360 degrees,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
ptz camera 5 megapixel,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,0,0,0,10,0,10,10,10,0,0,0,10,0,0,0,0,10,0,0,0
ptz camera dvr,AED,10,0%,0%,High,100,,,,,,,,10,10,0,0,0,10,10,10,10,0,10,10,10,0,10,10,0,10,0,10,10,10,10,10
ptz camera for home,AED,10,0%,∞,Low,29,,,,,,,,10,0,0,10,10,0,10,10,10,0,0,0,10,10,10,10,0,10,10,10,10,10,10,10
ptz camera in india,AED,10,0%,0%,High,100,,,,,,,,0,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
ptz camera not showing video,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptz camera philippines,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
ptz camera power consumption,AED,10,0%,0%,Low,0,,,,,,,,10,0,10,0,10,10,0,0,10,10,10,10,0,0,10,10,10,10,0,10,0,10,0,10
ptz camera power requirements,AED,10,0%,0%,High,67,,,,,,,,10,10,10,0,10,0,10,10,10,10,10,10,10,0,0,0,10,10,10,10,10,10,10,10
ptz camera price in nepal,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0
ptz camera price philippines,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
ptz camera surveillance,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptz camera view,AED,10,0%,0%,Low,0,,,,,,,,10,0,0,10,0,0,0,10,0,10,0,10,0,10,10,0,0,0,10,10,10,10,0,10
ptz camera wattage,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0
ptz camera what is,AED,40,0%,25%,High,85,,,,,,,,30,20,50,20,30,50,30,40,40,50,40,40,50,50,50,40,50,30,50,30,50,50,50,50
ptz camera wired,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ptz dvr,AED,10,0%,0%,High,100,,,,,,,,10,10,0,0,0,10,10,10,10,0,10,10,10,0,10,10,0,10,0,10,10,10,10,10
ptz dvr system,AED,10,∞,∞,High,100,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ptz in camera,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,10,10,10,10,10,0,0,10,10,0,0,10,10,10,10,0,10,0,0,0
ptz in cctv,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0
ptz rotating camera,AED,10,∞,∞,High,100,,,,,,,,0,10,0,0,0,0,0,0,0,10,10,0,10,0,0,10,0,0,10,10,0,0,0,10
ptz uniview,AED,10,0%,∞,High,100,,,,,,,,0,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,0,10,0,0,10,10,10,10
ptz unv,AED,10,0%,∞,High,100,,,,,,,,10,10,0,0,10,0,10,10,0,10,0,0,10,10,0,10,0,10,10,10,10,10,10,10
range of wireless cctv camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,10,10,0,10,10,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0
recording camera cctv,AED,10,0%,0%,Medium,50,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
reset uniview camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
reset unv ip camera,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,0,0,0,10,10,0,10,10,0,10,0,10,10,10,10,0,0,10,10,0
rohs cctv camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,10,0,0,0,10,0,0,10,10,0,10,0,0,0,10,0
rohs video camera,AED,10,∞,∞,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,10
rohs wifi camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
rotating cctv,AED,10,-100%,-100%,Unknown,,,,,,,,,10,0,0,0,0,10,10,10,10,0,0,10,0,10,0,10,10,0,0,10,0,10,0,0
